序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,1733636.42,174366.68,7931,1996-09-25,--,,显示器件,光电显示材料、装备及技术服务、新能源汽车、石墨烯产业化应用、建筑安装、电子通讯产品,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
87,415,渤海租赁,渤海金控投资股份有限公司,乌鲁木齐市,沙依巴克区,3593435.1,263034.1,800,1996-07-16,--,,其他非银行金融,融资租赁、融资租赁咨询、经营租赁、集装箱租赁,融资租赁和经营性租赁
88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,1020.89,2721.38,63,1996-07-19,--,,其他非银行金融,典当、保险经纪、投资与资产管理、商品零售,典当、财富管理及保险经纪
89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,1038990.97,21314.8,9248,1996-08-12,--,,百货,百货业（含家电）、超市业、农产品交易市场、房地产,百货零售业、农产品交易市场两大类业务
90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,2138469.91,150641.25,9890,1997-03-28,--,,洗衣机,家用电器,家用洗衣机的研发、生产和销售
91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,392362.73,12793.13,3860,1996-08-16,--,,百货,商贸零售、酒店旅游,商业零售业、典当业及旅游酒店业
92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,219782.27,8559.41,4664,1996-08-02,--,,粘胶纤维,化纤、醋酐,从事粘胶纤维的生产、研发和销售
93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,360932.05,14852.12,2871,1996-08-06,--,,燃气,客运业务、燃气业务、房地产业务,客运业务、燃气业务及房地产业务
94,422,*ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,1195544.15,-509069.52,9871,1996-08-15,--,,氮肥,化肥产品、化工产品,化肥及化工产品的制造和销售。
95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,737234.03,204435.25,4817,1996-07-29,--,,中药生产,阿胶系列、医药贸易,从事阿胶及阿胶系列产品的研发、生产和销售业务
96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,2913110.46,102061.77,13620,1996-08-28,--,,工程机械,工程机械,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,211143.91,56498.53,315,1996-08-28,--,,铅锌,锌精粉、铁精粉、铅精粉、电解铜、铜精粉、粗铅、铅锭,有色金属采选及冶炼
98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,106309.44,10896.21,5197,1996-08-08,--,,酒店,酒店业、房地产业、酒店资产运营,住宿、餐饮。
99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,308905.54,150992.24,2191,1998-02-20,--,,高速公路,公路运输,广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询
100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,54964.96,6736.22,1170,1996-08-29,--,,景区,旅行社服务、环保客运服务、观光电车、宝峰湖景区、周洛景区、杨家界索道、张国际酒店、广告代理、房屋租赁,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
